File_ID	File_Name	Data_Category	Data_Type	Project_ID	Case_ID	Sample_ID	Sample_Type
d8c0cebe-6588-4a41-a11c-439eb5c40fc8	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J1-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J1	TCGA-OR-A5J1-01A	Primary Tumor
6d0b7169-b3e2-41eb-ad3f-76969be828d5	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J2-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J2	TCGA-OR-A5J2-01A	Primary Tumor
d96d4f94-79c8-4b13-9e9e-466bb82f6084	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J3-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J3	TCGA-OR-A5J3-01A	Primary Tumor
0874f4b8-5743-4b41-9b99-f02186c8b51e	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J4-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J4	TCGA-OR-A5J4-01A	Primary Tumor
639e5707-85e3-44ba-b8ce-cd2184354121	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J5-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J5	TCGA-OR-A5J5-01A	Primary Tumor
471788f6-ce7f-4267-a30a-ff179bceff3b	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J6-01A-31D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J6	TCGA-OR-A5J6-01A	Primary Tumor
b08c84d4-03d9-4493-9cb0-bec02cf1bd46	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J7-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J7	TCGA-OR-A5J7-01A	Primary Tumor
a288a5f2-5396-4409-85ee-1bf49c545bd0	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J8-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J8	TCGA-OR-A5J8-01A	Primary Tumor
09eb5b05-2794-437b-a307-5255f69c4a32	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5J9-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5J9	TCGA-OR-A5J9-01A	Primary Tumor
a60983b7-94f0-4ba4-8b3b-56dd37174ce7	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5JA-01A-11D-A29J-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-ACC	TCGA-OR-A5JA	TCGA-OR-A5JA-01A	Primary Tumor
